puzzle_id,n,t,d,markov_entropy,pattern_score
108,2,6,16,2.807354922057604,0.06421502598079865
109,2,6,17,3.121928094887362,0.09756039747445022
110,2,6,18,0.0,1.0
111,2,7,7,2.807354922057604,0.06421502598079865
112,2,7,8,1.0,0.36907024642854247
113,2,7,9,2.0,0.1386468838532139
114,2,7,10,1.5,0.35398516288991033
115,2,7,11,2.321928094887362,0.10175559829607284
116,2,7,12,0.0,1.0
117,2,7,13,1.0,0.36907024642854247
118,2,7,14,3.52164063634332,0.09860781863158219
119,2,7,15,2.321928094887362,0.10175559829607284
120,2,7,16,2.321928094887362,0.10175559829607284
121,2,7,17,1.0,0.36907024642854247
122,2,7,18,3.459431618637298,0.03501595401865598
123,2,7,19,1.0,0.36907024642854247
124,2,7,20,2.0,0.1386468838532139
125,2,7,21,1.0,0.36907024642854247
126,3,1,1,0.0,1.0
127,3,1,2,1.0,0.36907024642854247
128,3,1,3,0.0,1.0
129,3,2,2,0.0,1.0
130,3,2,3,0.0,1.0
131,3,2,4,0.0,1.0
132,3,2,5,0.0,1.0
133,3,2,6,2.0,0.1386468838532139
134,3,3,3,1.0,0.36907024642854247
135,3,3,4,0.0,1.0
136,3,3,5,1.0,0.36907024642854247
137,3,3,6,0.0,1.0
138,3,3,7,0.0,1.0
139,3,3,8,2.2516291673878226,0.1979535078744057
140,3,3,9,2.4193819456463714,0.2716934633925584
141,3,4,4,0.0,1.0
142,3,4,5,1.9219280948873623,0.2564967211898894
143,3,4,6,1.0,0.36907024642854247
144,3,4,7,0.8112781244591328,0.6506015297177028
145,3,4,8,1.9219280948873623,0.2564967211898894
146,3,4,9,0.0,1.0
147,3,4,10,3.169925001442312,0.04575749056067513
148,3,4,11,2.807354922057604,0.06421502598079865
149,3,4,12,3.418295834054489,0.07624604251851919
150,3,5,5,1.0,0.36907024642854247
151,3,5,6,2.321928094887362,0.10175559829607284
152,3,5,7,0.0,1.0
153,3,5,8,2.0,0.1386468838532139
154,3,5,9,0.0,1.0
155,3,5,10,2.6464393446710153,0.235007470471848
156,3,5,11,2.321928094887362,0.10175559829607284
157,3,5,12,0.0,1.0
158,3,5,13,0.0,1.0
159,3,5,14,3.121928094887362,0.09756039747445022
160,3,5,15,2.5216406363433186,0.15945312121889377
161,3,6,6,1.0,0.36907024642854247
162,3,6,7,0.0,1.0
163,3,6,8,0.0,1.0
164,3,6,9,2.0,0.1386468838532139
165,3,6,10,2.807354922057604,0.06421502598079865
166,3,6,11,1.9182958340544893,0.31668923691041306
167,3,6,12,0.0,1.0
168,3,6,13,3.321928094887362,0.03974743221087251
169,3,6,14,2.94770277922009,0.11265304515267105
170,3,6,15,2.75,0.13247158883924592
171,3,6,16,1.584962500721156,0.20751874963942196
172,3,6,17,3.3248629576173574,0.14897464460493992
173,3,6,18,2.0,0.1386468838532139
174,3,7,7,2.584962500721156,0.07921777883839831
175,3,7,8,1.584962500721156,0.20751874963942196
176,3,7,9,0.0,1.0
177,3,7,10,1.9219280948873623,0.2564967211898894
178,3,7,11,2.321928094887362,0.10175559829607284
179,3,7,12,2.321928094887362,0.10175559829607284
180,3,7,13,3.321928094887362,0.03974743221087251
181,3,7,14,3.277613436819116,0.08573285322795232
182,3,7,15,1.9219280948873623,0.2564967211898894
183,3,7,16,2.9139770731827523,0.1871666516465451
184,3,7,17,0.0,1.0
185,3,7,18,3.8073549220576055,0.025476954400206364
186,3,7,19,3.459431618637298,0.03501595401865598
187,3,7,20,3.5465935642949384,0.06848884937203148
188,3,7,21,2.321928094887362,0.10175559829607284
189,4,1,1,0.0,1.0
190,4,1,2,0.0,1.0
191,4,1,3,0.9182958340544896,0.5408520829727552
192,4,2,2,1.0,0.36907024642854247
193,4,2,3,0.0,1.0
194,4,2,4,1.0,0.36907024642854247
195,4,2,5,0.0,1.0
196,4,2,6,0.0,1.0
197,4,3,3,0.0,1.0
198,4,3,4,0.0,1.0
199,4,3,5,0.0,1.0
200,4,3,6,0.0,1.0
201,4,3,7,0.9182958340544896,0.5408520829727552
202,4,3,8,2.2359263506290326,0.2546912164569891
203,4,3,9,2.0,0.1386468838532139
204,4,4,4,0.0,1.0
205,4,4,5,1.0,0.36907024642854247
206,4,4,6,1.0,0.36907024642854247
207,4,4,7,2.5216406363433186,0.15945312121889377
208,4,4,8,0.8112781244591328,0.6506015297177028
209,4,4,9,0.0,1.0
210,4,4,10,1.584962500721156,0.20751874963942196
211,4,4,11,1.584962500721156,0.20751874963942196
212,4,4,12,1.6644977792004614,0.4451674069331796
213,4,5,5,0.0,1.0
214,4,5,6,0.0,1.0
215,4,5,7,1.0,0.36907024642854247
216,4,5,8,0.0,1.0
217,4,5,9,0.0,1.0
218,4,5,10,1.0,0.36907024642854247
219,4,5,11,1.3709505944546687,0.46964391395534777
220,4,5,12,2.321928094887362,0.10175559829607284
221,4,5,13,3.2776134368191165,0.08573285322795221
222,4,5,14,1.0,0.36907024642854247
223,4,5,15,2.321928094887362,0.10175559829607284
224,4,6,6,1.0,0.36907024642854247
225,4,6,7,1.584962500721156,0.20751874963942196
226,4,6,8,1.584962500721156,0.20751874963942196
227,4,6,9,1.584962500721156,0.20751874963942196
228,4,6,10,3.0,0.053605369642813816
229,4,6,11,0.9182958340544896,0.5408520829727552
230,4,6,12,1.0,0.36907024642854247
231,4,6,13,2.0,0.1386468838532139
232,4,6,14,2.9139770731827523,0.1871666516465451
233,4,6,15,2.0,0.1386468838532139
234,4,6,16,1.584962500721156,0.20751874963942196
235,4,6,17,2.5,0.21133780803567814
236,4,6,18,2.251629167387823,0.19795350787440558
237,4,7,7,1.0,0.36907024642854247
238,4,7,8,1.0,0.36907024642854247
239,4,7,9,1.9219280948873623,0.2564967211898894
240,4,7,10,2.0,0.1386468838532139
241,4,7,11,2.0,0.1386468838532139
242,4,7,12,1.584962500721156,0.20751874963942196
243,4,7,13,2.251629167387823,0.19795350787440558
244,4,7,14,2.0,0.1386468838532139
245,4,7,15,1.0,0.36907024642854247
246,4,7,16,1.9219280948873623,0.2564967211898894
247,4,7,17,3.2516291673878226,0.12128573492307249
248,4,7,18,0.0,1.0
249,4,7,19,1.5,0.35398516288991033
250,4,7,20,1.584962500721156,0.20751874963942196
251,4,7,21,3.8073549220576055,0.025476954400206364
252,5,1,1,0.0,1.0
253,5,1,2,0.0,1.0
254,5,1,3,0.9182958340544896,0.5408520829727552
255,5,2,2,0.0,1.0
256,5,2,3,0.0,1.0
257,5,2,4,0.0,1.0
258,5,2,5,0.0,1.0
259,5,2,6,0.9182958340544896,0.5408520829727552
260,5,3,3,1.0,0.36907024642854247
261,5,3,4,0.0,1.0
262,5,3,5,2.321928094887362,0.10175559829607284
263,5,3,6,0.7219280948873623,0.7207200898713393
264,5,3,7,1.0,0.36907024642854247
265,5,3,8,1.584962500721156,0.20751874963942196
266,5,3,9,0.0,1.0
267,5,4,4,0.0,1.0
268,5,4,5,1.0,0.36907024642854247
269,5,4,6,0.0,1.0
270,5,4,7,0.0,1.0
271,5,4,8,2.0,0.1386468838532139
272,5,4,9,0.9182958340544896,0.5408520829727552
273,5,4,10,2.2516291673878226,0.1979535078744057
274,5,4,11,0.0,1.0
275,5,4,12,0.8112781244591328,0.6506015297177028
276,5,5,5,1.584962500721156,0.20751874963942196
277,5,5,6,0.0,1.0
278,5,5,7,0.0,1.0
279,5,5,8,1.0,0.36907024642854247
280,5,5,9,1.584962500721156,0.20751874963942196
281,5,5,10,2.321928094887362,0.10175559829607284
282,5,5,11,1.5,0.35398516288991033
283,5,5,12,1.0,0.36907024642854247
284,5,5,13,0.0,1.0
285,5,5,14,1.0,0.36907024642854247
286,5,5,15,0.0,1.0
287,5,6,6,0.0,1.0
288,5,6,7,0.0,1.0
289,5,6,8,1.0,0.36907024642854247
290,5,6,9,2.725480556997868,0.17954859974466675
291,5,6,10,1.584962500721156,0.20751874963942196
292,5,6,11,2.321928094887362,0.10175559829607284
293,5,6,12,1.584962500721156,0.20751874963942196
294,5,6,13,0.0,1.0
295,5,6,14,1.8423709931771088,0.38587633560763035
296,5,6,15,1.5,0.35398516288991033
297,5,6,16,1.0,0.36907024642854247
298,5,6,17,2.94770277922009,0.11265304515267105
299,5,6,18,2.5216406363433186,0.15945312121889377
300,5,7,7,0.9182958340544896,0.5408520829727552
301,5,7,8,2.584962500721156,0.07921777883839831
302,5,7,9,1.0,0.36907024642854247
303,5,7,10,2.5,0.21133780803567814
304,5,7,11,1.0,0.36907024642854247
305,5,7,12,1.0,0.36907024642854247
306,5,7,13,2.0,0.1386468838532139
307,5,7,14,2.1280852788913944,0.29063824036953523
308,5,7,15,2.0,0.1386468838532139
309,5,7,16,3.121928094887362,0.09756039747445022
310,5,7,17,2.75,0.13247158883924592
311,5,7,18,2.4193819456463714,0.2716934633925584
312,5,7,19,2.5216406363433186,0.15945312121889377
