puzzle_id,n,t,d,markov_entropy,pattern_score
326,10,3,9,0.0,1.0
327,6,7,17,1.0,0.36907024642854247
328,3,4,10,0.0,1.0
329,7,1,4,0.0,1.0
330,6,2,8,0.0,1.0
331,6,2,3,0.0,1.0
332,6,3,7,0.0,1.0
333,7,7,19,0.0,1.0
334,6,7,16,0.0,1.0
335,3,6,19,0.0,1.0
336,8,5,13,0.0,1.0
337,7,3,7,0.0,1.0
338,5,3,9,0.0,1.0
339,6,5,13,0.0,1.0
340,1,3,6,0.0,1.0
341,4,1,3,0.0,1.0
342,4,6,13,0.0,1.0
343,6,2,4,0.0,1.0
344,6,3,5,0.0,1.0
345,5,6,15,0.0,1.0
346,5,5,11,0.0,1.0
347,6,6,18,1.0,0.36907024642854247
348,7,3,7,0.0,1.0
349,8,1,4,0.0,1.0
350,1,4,7,0.0,1.0
351,3,6,14,0.0,1.0
352,7,6,14,0.0,1.0
353,4,4,10,0.0,1.0
354,4,3,5,0.0,1.0
355,6,2,3,0.0,1.0
356,2,5,12,0.0,1.0
357,7,3,10,0.0,1.0
358,1,2,7,0.0,1.0
359,8,1,1,0.0,1.0
360,5,4,11,0.0,1.0
361,3,6,15,0.0,1.0
362,5,4,12,0.0,1.0
363,5,7,16,0.0,1.0
364,10,3,4,0.0,1.0
365,2,2,5,0.9182958340544896,0.5408520829727552
366,5,6,16,0.0,1.0
367,6,3,5,0.0,1.0
368,8,5,14,0.0,1.0
369,6,2,5,0.0,1.0
370,4,7,16,0.0,1.0
371,2,3,5,0.0,1.0
372,2,3,7,0.0,1.0
373,7,7,19,0.0,1.0
374,5,5,13,0.0,1.0
375,4,6,13,0.0,1.0
376,2,3,4,0.0,1.0
377,3,7,21,0.0,1.0
378,7,4,10,0.0,1.0
379,5,5,13,0.0,1.0
380,3,7,10,0.0,1.0
381,2,6,12,0.0,1.0
382,8,2,2,0.0,1.0
383,6,1,4,0.0,1.0
384,9,5,8,0.0,1.0
385,3,4,13,0.0,1.0
386,1,4,11,0.0,1.0
387,4,4,9,0.0,1.0
388,8,6,13,0.0,1.0
389,6,2,2,0.0,1.0
390,2,6,17,0.0,1.0
391,5,6,17,0.0,1.0
392,6,6,13,0.0,1.0
393,5,5,13,0.0,1.0
394,4,4,8,0.0,1.0
395,7,7,19,0.0,1.0
396,6,2,7,0.0,1.0
397,5,4,7,0.0,1.0
398,3,1,1,0.0,1.0
399,2,4,10,0.0,1.0
400,7,2,6,0.0,1.0
401,7,7,17,1.584962500721156,0.20751874963942196
402,10,1,4,0.0,1.0
403,4,3,7,0.0,1.0
404,3,4,9,0.0,1.0
405,3,4,9,2.0,0.1386468838532139
406,9,1,1,0.0,1.0
407,5,6,14,0.0,1.0
408,6,5,11,0.0,1.0
409,9,6,18,0.0,1.0
410,2,7,16,0.0,1.0
411,3,4,13,0.0,1.0
412,3,1,3,0.0,1.0
413,6,2,6,0.0,1.0
414,9,5,12,0.0,1.0
415,6,5,13,0.0,1.0
416,6,7,18,0.0,1.0
417,7,6,13,0.0,1.0
418,7,3,10,0.0,1.0
419,5,4,13,0.0,1.0
420,6,6,16,0.0,1.0
421,5,3,12,0.0,1.0
422,7,6,15,0.0,1.0
423,5,7,15,0.0,1.0
424,7,7,17,0.0,1.0
425,3,3,10,0.0,1.0
426,4,2,6,0.0,1.0
427,8,6,16,2.1556390622295662,0.31997158883924604
428,5,6,11,0.0,1.0
429,6,1,4,0.0,1.0
430,7,2,2,0.0,1.0
431,5,3,6,0.0,1.0
432,4,7,17,0.0,1.0
433,3,6,17,0.0,1.0
434,5,6,18,2.0,0.1386468838532139
435,7,1,3,0.0,1.0
436,6,5,13,1.0,0.36907024642854247
437,1,3,5,0.0,1.0
438,6,1,1,0.0,1.0
439,9,3,5,0.0,1.0
440,5,4,8,0.0,1.0
441,5,2,8,0.0,1.0
442,3,5,12,0.0,1.0
443,5,5,13,0.0,1.0
444,6,5,15,0.0,1.0
445,5,4,12,0.0,1.0
446,5,3,8,0.0,1.0
447,7,5,14,0.0,1.0
448,4,7,18,0.0,1.0
449,7,7,19,0.0,1.0
450,6,1,4,0.0,1.0
451,9,4,11,0.0,1.0
452,9,7,17,0.0,1.0
453,8,3,11,0.0,1.0
454,8,3,8,0.0,1.0
455,6,4,10,0.0,1.0
456,6,5,13,0.0,1.0
457,5,4,16,0.0,1.0
458,6,3,12,0.0,1.0
459,8,6,15,0.0,1.0
460,1,4,9,0.0,1.0
461,5,3,12,0.0,1.0
462,5,6,16,0.0,1.0
463,7,2,5,0.0,1.0
464,4,5,10,0.0,1.0
465,4,1,4,0.0,1.0
466,7,4,13,0.0,1.0
467,4,2,5,1.0,0.36907024642854247
468,9,4,13,0.0,1.0
469,8,6,15,0.0,1.0
470,6,6,15,0.8112781244591328,0.6506015297177028
471,3,7,21,0.0,1.0
472,8,3,6,0.0,1.0
473,6,7,18,0.0,1.0
474,4,1,1,0.0,1.0
475,4,3,8,0.0,1.0
476,3,6,15,0.0,1.0
477,4,1,4,0.0,1.0
478,8,7,19,0.0,1.0
479,7,7,16,0.0,1.0
480,5,3,5,0.0,1.0
481,5,1,4,0.0,1.0
482,5,3,8,0.0,1.0
483,6,2,2,0.0,1.0
484,4,3,7,0.0,1.0
485,8,7,16,1.0,0.36907024642854247
486,6,6,9,0.0,1.0
487,6,5,14,0.0,1.0
488,3,3,8,0.0,1.0
489,6,1,1,0.0,1.0
490,4,3,5,0.0,1.0
491,6,6,12,0.0,1.0
492,8,7,17,0.0,1.0
493,5,6,14,1.0,0.36907024642854247
494,7,7,19,0.0,1.0
495,8,5,11,0.9182958340544896,0.5408520829727552
496,4,2,6,0.0,1.0
497,5,4,9,0.0,1.0
498,7,7,16,0.0,1.0
499,3,4,13,0.0,1.0
500,4,3,7,0.0,1.0
501,5,1,3,0.0,1.0
502,5,3,6,0.0,1.0
503,3,5,13,0.9182958340544896,0.5408520829727552
504,7,7,18,0.0,1.0
505,6,6,12,0.0,1.0
