puzzle_id,n,t,d,markov_entropy,pattern_score
108,4,4,7,2.807354922057604,0.06421502598079865
109,4,3,3,0.9182958340544896,0.5408520829727552
110,4,1,1,0.0,1.0
111,4,4,7,0.5916727785823275,0.8027757404725575
112,2,1,1,0.0,1.0
113,6,3,6,1.9182958340544893,0.31668923691041306
114,4,4,4,2.0,0.1386468838532139
115,3,3,3,1.584962500721156,0.20751874963942196
116,3,4,8,2.5,0.21133780803567814
117,2,3,3,1.584962500721156,0.20751874963942196
118,1,4,4,1.5,0.35398516288991033
119,6,3,5,1.9219280948873623,0.2564967211898894
120,4,1,1,0.0,1.0
121,6,4,4,0.8112781244591328,0.6506015297177028
122,1,1,2,1.0,0.36907024642854247
123,4,1,1,0.0,1.0
124,5,3,6,1.2516291673878228,0.5541606949824278
125,3,3,5,2.321928094887362,0.10175559829607284
126,2,4,7,1.4488156357251847,0.5170614547582717
127,4,3,6,1.7924812503605778,0.3615052958651881
128,3,2,4,0.8112781244591328,0.6506015297177028
129,6,1,1,0.0,1.0
130,4,2,4,0.8112781244591328,0.6506015297177028
131,6,2,3,0.9182958340544896,0.5408520829727552
132,4,1,1,0.0,1.0
133,6,1,1,0.0,1.0
134,5,4,4,1.5,0.35398516288991033
135,6,4,4,1.5,0.35398516288991033
136,1,1,2,1.0,0.36907024642854247
137,2,1,1,0.0,1.0
138,4,4,7,0.5916727785823275,0.8027757404725575
139,2,2,4,0.8112781244591328,0.6506015297177028
140,1,3,6,2.2516291673878226,0.1979535078744057
141,6,4,8,2.5,0.21133780803567814
142,4,2,4,1.5,0.35398516288991033
143,3,1,2,1.0,0.36907024642854247
144,2,4,8,1.75,0.4479364656249747
145,5,4,8,2.1556390622295662,0.31997158883924604
146,3,3,5,2.321928094887362,0.10175559829607284
147,5,3,3,1.584962500721156,0.20751874963942196
148,5,4,8,1.75,0.4479364656249747
149,5,3,3,1.584962500721156,0.20751874963942196
150,5,1,2,1.0,0.36907024642854247
151,4,2,3,1.584962500721156,0.20751874963942196
152,4,4,8,2.1556390622295662,0.31997158883924604
153,1,3,6,2.584962500721156,0.07921777883839831
154,1,4,6,0.6500224216483541,0.768457341627495
155,1,4,4,0.8112781244591328,0.6506015297177028
156,5,1,2,1.0,0.36907024642854247
157,3,4,4,2.0,0.1386468838532139
158,4,4,5,2.321928094887362,0.10175559829607284
159,4,2,2,1.0,0.36907024642854247
160,4,3,4,0.8112781244591328,0.6506015297177028
161,6,1,2,1.0,0.36907024642854247
162,2,4,4,2.0,0.1386468838532139
163,6,1,2,1.0,0.36907024642854247
164,4,1,1,0.0,1.0
165,1,1,1,0.0,1.0
166,1,2,4,0.8112781244591328,0.6506015297177028
167,3,4,4,0.8112781244591328,0.6506015297177028
168,4,4,4,1.5,0.35398516288991033
169,4,1,2,1.0,0.36907024642854247
170,3,1,2,1.0,0.36907024642854247
171,2,3,6,2.2516291673878226,0.1979535078744057
172,6,4,7,0.5916727785823275,0.8027757404725575
173,3,4,7,0.5916727785823275,0.8027757404725575
174,4,1,2,1.0,0.36907024642854247
175,4,3,6,1.2516291673878228,0.5541606949824278
176,3,4,5,0.7219280948873623,0.7207200898713393
177,2,1,1,0.0,1.0
178,5,1,1,0.0,1.0
179,3,2,4,0.8112781244591328,0.6506015297177028
180,5,2,2,1.0,0.36907024642854247
181,3,4,8,1.5487949406953985,0.5114095948671661
182,2,1,1,0.0,1.0
183,2,2,4,2.0,0.1386468838532139
184,2,2,2,1.0,0.36907024642854247
185,4,4,7,2.5216406363433186,0.15945312121889377
186,4,2,4,2.0,0.1386468838532139
187,1,1,1,0.0,1.0
188,4,2,4,2.0,0.1386468838532139
189,3,4,7,1.6644977792004614,0.4451674069331796
190,5,1,2,1.0,0.36907024642854247
191,2,1,1,0.0,1.0
192,5,4,6,2.2516291673878226,0.1979535078744057
193,2,4,5,2.321928094887362,0.10175559829607284
194,1,3,6,0.6500224216483541,0.768457341627495
195,3,3,3,0.9182958340544896,0.5408520829727552
196,2,2,2,1.0,0.36907024642854247
197,6,1,1,0.0,1.0
198,3,3,5,1.9219280948873623,0.2564967211898894
199,3,1,1,0.0,1.0
200,5,1,1,0.0,1.0
201,1,3,4,2.0,0.1386468838532139
202,2,2,3,0.9182958340544896,0.5408520829727552
203,2,4,5,1.9219280948873623,0.2564967211898894
204,1,1,1,0.0,1.0
205,3,4,5,0.7219280948873623,0.7207200898713393
206,6,4,4,0.8112781244591328,0.6506015297177028
207,3,3,6,0.6500224216483541,0.768457341627495
208,3,3,4,2.0,0.1386468838532139
209,1,2,4,0.8112781244591328,0.6506015297177028
210,1,4,4,1.5,0.35398516288991033
211,6,2,2,1.0,0.36907024642854247
212,1,3,5,1.9219280948873623,0.2564967211898894
213,6,2,4,2.0,0.1386468838532139
214,3,4,8,2.5,0.21133780803567814
215,2,1,1,0.0,1.0
216,1,4,6,1.2516291673878228,0.5541606949824278
217,6,1,2,1.0,0.36907024642854247
218,3,3,5,0.7219280948873623,0.7207200898713393
219,5,4,8,0.5435644431995964,0.8285245099009361
220,1,4,5,1.9219280948873623,0.2564967211898894
221,1,2,4,0.8112781244591328,0.6506015297177028
222,1,2,3,0.9182958340544896,0.5408520829727552
223,6,4,4,0.8112781244591328,0.6506015297177028
224,3,1,2,1.0,0.36907024642854247
225,2,4,5,2.321928094887362,0.10175559829607284
226,4,2,2,1.0,0.36907024642854247
227,1,2,4,2.0,0.1386468838532139
228,4,3,6,2.2516291673878226,0.1979535078744057
229,4,4,5,1.3709505944546687,0.46964391395534777
230,5,2,4,0.8112781244591328,0.6506015297177028
231,3,4,8,2.5,0.21133780803567814
232,1,4,6,2.584962500721156,0.07921777883839831
233,3,3,6,0.6500224216483541,0.768457341627495
234,3,1,1,0.0,1.0
235,1,1,1,0.0,1.0
236,1,1,1,0.0,1.0
237,4,2,2,1.0,0.36907024642854247
238,4,2,4,1.5,0.35398516288991033
239,3,1,2,1.0,0.36907024642854247
240,6,1,1,0.0,1.0
241,1,4,7,2.5216406363433186,0.15945312121889377
242,3,4,8,1.061278124459133,0.6652040272321104
